Topic	Subtopic	Description	References	isBookmarked
History	The Agricultural Revolution	The agricultural revolution is the name given to a number of cultural transformations that initially allowed humans to change from a hunting and gathering subsistence to one of agriculture and animal domestications. Today, more than 80% of human worldwide diet is produced from less than a dozen crop species many of which were domesticated many years ago. Scientists study ancient remains, bone artifacts, and DNA to explore the past and present impact of plant and animal domestication and to make sense of the motivations behind early cultivation techniques. Archeological evidence illustrates that starting in the Holocene epoch approximately 12 thousand years ago (kya), the domestication of plants and animals developed in separate global locations most likely triggered by climate change and local population increases. This transition from hunting and gathering to agriculture occurred very slowly as humans selected crops for cultivation, animals for domestication, then continued to select plants and animals for desirable traits. The development of agriculture marks a major turning point in human history and evolution. In several independent domestication centers, cultivation of plants and animals flourished according to the particular environmental conditions of the region, whereas human migration and trade propelled the global spread of agriculture. This change in subsistence provided surplus plant food that accumulated during the summer and fall for storage and winter consumption, as well as domesticated animals that could be used for meat and dairy products throughout the year. Because these new survival strategies no longer required relocation and migration in search of food, humans were able to establish homesteads, towns, and communities, which, in turn, caused rapid increases in population densities and lead to the emergence of civilizations. This dependence on plant and animal domestication entailed a number of other environmental adaptations including deforestation, irrigation, and the allocation of land for specific crop cultivation. It also triggered various other innovations including new tool technologies, commerce, architecture, an intensified division of labor, defined socioeconomic roles, property ownership, and tiered political systems. This shift in subsistence mode provided a relatively safer existence and in general more leisure time for analytical and creative pursuits resulting in complex language development, and the accelerated evolution of art, religion, and science. However, increases in population density also correlated with the increased prevalence of diseases, interpersonal conflicts, and extreme social stratification. The rise of agriculture and the influence of genetics and culture (gene–culture coevolution) continue to affect modern humans through alterations in nutrition, predisposition to obesity, and exposure to new diseases. This chapter will cover the various regions that adopted early agricultural practices and look at the long-term positive and negative effects of agriculture on society.	B. L. Turner II, "The Agricultural Revolution in Prehistory: Why Did Foragers Become Farmers?" (2002).	TRUE
History	Th Development of Writing 	The development of writing is a pivotal milestone in human history, marking the transition from prehistoric oral communication to the recording and preservation of information. The earliest known writing systems emerged around 3500 BCE in ancient Mesopotamia, with the Sumerians employing cuneiform script on clay tablets. Subsequent civilizations, such as the Egyptians, Indus Valley, and Chinese, independently devised their own writing systems, each with unique characters and symbols. The advent of writing revolutionized societal organization, enabling the documentation of laws, religious texts, and cultural achievements. Notable references to this profound advancement include the Code of Hammurabi, the Egyptian hieroglyphs on monumental structures, and the ancient Chinese oracle bone inscriptions. The development of writing laid the foundation for the accumulation and dissemination of knowledge, fostering the growth of civilizations and facilitating the transmission of culture across generations. This transformative leap in human communication has left an indelible mark on the evolution of language and the progress of civilizations throughout history.	Nissen, H. J., Damerow, P., & Englund, R. K. (1993). Archaic Bookkeeping: Early Writing and Techniques of Economic Administration in the Ancient Near East. University of Chicago Press.	FALSE
History	The Age of Exploration	The Age of Exploration, also known as the Age of Discovery, spanned from the late 15th century to the early 17th century and was characterized by European maritime exploration that led to the discovery of new routes, continents, and cultures. Motivated by a desire for wealth, trade, and the spread of Christianity, European powers such as Portugal, Spain, England, and the Netherlands sponsored voyages across the Atlantic and around Africa, seeking new trade routes to Asia. Christopher Columbus's 1492 voyage to the Americas, Vasco da Gama's circumnavigation of Africa to reach India in 1498, and Ferdinand Magellan's 1519-1522 expedition, which circumnavigated the globe, are notable examples. The Age of Exploration had profound global implications, shaping the modern world through cultural exchanges, the Columbian Exchange of goods and ideas, and the establishment of colonial empires.	 Boxer, C. R. (1991). The Portuguese Seaborne Empire 1415–1825. Hutchinson.	FALSE
History	The Industrial Revolution 	The Industrial Revolution was a period of profound economic, technological, and social transformation that originated in Britain in the late 18th century and spread to other parts of the world during the 19th and early 20th centuries. Characterized by the shift from agrarian and manual labor-based economies to industrial and machine-driven production, the revolution brought about significant advancements in manufacturing, transportation, and communication. Key innovations such as the steam engine, mechanized textile production, and the development of railways played pivotal roles in fostering unprecedented economic growth. While it led to increased productivity, urbanization, and the rise of capitalism, the Industrial Revolution also brought about significant social challenges, including labor exploitation, poor working conditions, and social inequality. This transformative period laid the foundation for the modern industrialized world. 	Mokyr, J. (1999). The Second Industrial Revolution, 1840-1914. Routledge	FALSE
History	World War I	World War I, also known as the Great War, was a global conflict that lasted from 1914 to 1918, involving many of the world's great powers. Triggered by the assassination of Archduke Franz Ferdinand of Austria-Hungary in 1914, the war quickly escalated as alliances were activated, drawing in major European nations and eventually expanding to involve countries across the globe. The conflict featured trench warfare, technological innovations like machine guns and chemical weapons, and resulted in widespread devastation and loss of life. The Treaty of Versailles in 1919 formally ended the war, imposing heavy reparations on Germany and reshaping the geopolitical landscape. World War I had profound and lasting effects on the course of history, setting the stage for future conflicts and influencing political and social developments in the 20th century.	Hewitson, Mark. "Germany and the Causes of the First World War: Historical Debate." Journal of Contemporary History, vol. 51, no. 1, 2016, pp. 101-118. DOI: 10.1177/0022009415606974.	FALSE
History	World War II	World War II, spanning from 1939 to 1945, was a multifaceted global conflict with roots in the aftermath of World War I and the interwar period. Adolf Hitler's aggressive expansionist policies, including the annexation of Austria and Czechoslovakia, eventually led to the invasion of Poland in 1939, marking the formal start of the war. The conflict involved major theaters of operation in Europe, Asia, and Africa, with significant battles such as Stalingrad, Normandy, and the Battle of the Bulge. The war witnessed the Holocaust, in which six million Jews were systematically murdered by the Nazis. The Pacific War saw intense island-hopping campaigns and concluded with the Allied victory after the atomic bombings of Hiroshima and Nagasaki. The war's aftermath saw the establishment of the United Nations and the beginning of the Cold War between the United States and the Soviet Union. World War II had profound and lasting impacts on technology, diplomacy, and the post-war order.	Beevor, A. (2012). The Second World War. Little, Brown and Company.	FALSE
History	Cold War	The Cold War was a geopolitical tension and ideological struggle between the United States and its Western allies, and the Soviet Union and its Eastern Bloc counterparts, lasting from the end of World War II in 1945 until the collapse of the Soviet Union in 1991. Characterized by a lack of direct military conflict between the two superpowers, the Cold War was marked by intense competition and hostility, with each side seeking to expand its influence globally. The conflict played out in various arenas, including proxy wars, nuclear arms races, and ideological confrontations. The Cuban Missile Crisis in 1962 and the construction of the Berlin Wall in 1961 were critical moments during this period, highlighting the potential for nuclear conflict and the division of Europe. The Cold War had profound implications for international relations, shaping the global balance of power and influencing the formation of alliances and international organizations.	Gaddis, J. L. (2005). The Cold War: A New History. Penguin Books.	FALSE
History	The Information Age	The Information Age, also known as the Digital Age, refers to the period in human history characterized by the rapid proliferation of information and communication technologies (ICTs). This era, often considered to have begun in the late 20th century, has witnessed a profound societal transformation driven by the advent of computers, the internet, and digital communication tools. The Technological Revolution, a central component of the Information Age, encompasses the rapid and unprecedented advancements in technology, reshaping various facets of human life, including communication, commerce, education, and governance. This era has seen the rise of interconnected global networks, enabling instantaneous information exchange and facilitating the digitization of various industries. The ongoing impact of the Information Age and Technological Revolution continues to shape the way individuals interact, businesses operate, and societies evolve.	Castells, M. (1996). The Rise of the Network Society. The Information Age: Economy, Society and Culture (Vol. I). Blackwell.	FALSE
History	The Philippine Revolution	The Philippine Revolution, also known as the Katipunan Revolution, was a series of armed conflicts that took place between 1896 and 1898 in the Philippines. It marked the culmination of decades of resistance against Spanish colonial rule and was ignited by the secret society Katipunan, led by Filipino nationalists such as Andres Bonifacio and Emilio Aguinaldo. The revolution aimed to achieve Philippine independence and end over three centuries of Spanish colonization. Battles were fought across the archipelago, with notable events including the Siege of Baler and the Battle of Manila Bay. The conflict eventually led to the establishment of the First Philippine Republic on June 12, 1898, though the Philippines later fell under American rule after the Spanish-American War. The Philippine Revolution played a crucial role in shaping the nation's history and fostering a sense of national identity.	Agoncillo, T. (1990). "Malolos: The Crisis of the Republic." University of the Philippines Press.	FALSE
History	Covid-19 Pandemic	The COVID-19 era, characterized by the global pandemic caused by the novel coronavirus SARS-CoV-2, has significantly impacted societies worldwide, reshaping daily life, healthcare systems, and economic structures. Beginning in late 2019, the virus spread rapidly, leading to widespread illness, unprecedented public health measures such as lockdowns and social distancing, and an accelerated focus on vaccine development. The pandemic underscored the importance of international collaboration in addressing global health crises and highlighted disparities in healthcare access. Research has played a crucial role in understanding the virus, developing diagnostics and treatments, and guiding public health responses. The COVID-19 era has left a lasting imprint on the world, influencing discussions on preparedness for future pandemics, the role of science in policy-making, and the need for resilient healthcare systems.	World Health Organization (WHO). (2022). Coronavirus (COVID-19) Dashboard. Retrieved from https://covid19.who.int/	FALSE
